monthly_charges,total_charges,cltv,tenure_months,contract,churn_value,churn_probability,churn_risk_tier,value_tier,service_bundle_score,risk_flag,churn_reason
24.8,24.8,4851,1,Month-to-month,1,0.8717672,High Risk,Mid Value,0,0,Product dissatisfaction
91.0,531.0,2283,6,Month-to-month,1,0.68726456,High Risk,Low Value,3,1,Service dissatisfaction
79.9,79.9,3394,1,Month-to-month,1,0.873159,High Risk,Low Value,1,1,Lack of self-service on Website
106.6,1934.45,3764,19,Month-to-month,1,0.7002927,High Risk,Low Value,5,0,Network reliability
46.0,84.5,2667,2,Month-to-month,1,0.85378164,High Risk,Low Value,0,0,Don't know
70.15,268.35,2227,4,Month-to-month,1,0.748152,High Risk,Low Value,0,0,Don't know
50.05,179.35,3394,4,Month-to-month,1,0.5705725,Medium Risk,Low Value,1,0,Don't know
55.2,55.2,3638,1,Month-to-month,1,0.8727868,High Risk,Low Value,1,0,Poor expertise of online support
84.6,84.6,2484,1,Month-to-month,1,0.7313858,High Risk,Low Value,2,1,Poor expertise of phone support
54.4,114.1,2556,2,Month-to-month,1,0.824101,High Risk,Low Value,1,0,Price too high
95.0,1120.3,5980,11,Month-to-month,1,0.8406814,High Risk,High Value,3,1,Product dissatisfaction
74.4,1074.3,4616,15,Month-to-month,1,0.8410246,High Risk,Mid Value,1,0,Service dissatisfaction
48.55,48.55,5687,1,Month-to-month,1,0.7098605,High Risk,High Value,1,0,Lack of self-service on Website
70.4,147.15,5687,2,Month-to-month,1,0.8546625,High Risk,High Value,0,1,Network reliability
40.2,40.2,5828,1,Month-to-month,1,0.90966916,High Risk,High Value,2,0,Limited range of services
44.6,80.55,4884,2,Month-to-month,1,0.76527154,High Risk,Mid Value,0,0,Lack of affordable download/upload speed
41.15,132.2,2314,3,Month-to-month,1,0.86766577,High Risk,Low Value,2,0,Long distance charges
106.9,1364.3,2494,13,Month-to-month,1,0.9109203,High Risk,Low Value,4,0,Extra data charges
19.35,1099.6,5084,59,Two year,1,0.4962028,Medium Risk,Mid Value,0,0,Price too high
94.45,1511.2,3810,16,Month-to-month,1,0.81336015,High Risk,Low Value,3,0,Product dissatisfaction
24.8,24.8,5087,1,Month-to-month,1,0.73148227,High Risk,Mid Value,0,0,Service dissatisfaction
70.6,70.6,3338,1,Month-to-month,1,0.9016623,High Risk,Low Value,0,1,Lack of self-service on Website
85.4,401.1,3676,5,Month-to-month,1,0.9354128,High Risk,Low Value,2,1,Network reliability
105.05,5624.85,4839,52,Month-to-month,1,0.835635,High Risk,Mid Value,4,0,Don't know
95.15,1779.95,4643,18,Month-to-month,1,0.67218846,High Risk,Mid Value,3,0,Don't know
70.0,70.0,4094,1,Month-to-month,1,0.921742,High Risk,Mid Value,0,0,Don't know
74.5,606.55,4345,8,Month-to-month,1,0.76438034,High Risk,Mid Value,1,1,Poor expertise of online support
44.85,435.4,4061,10,Month-to-month,1,0.5403029,Medium Risk,Mid Value,0,0,Poor expertise of phone support
76.1,1712.7,2018,24,Month-to-month,1,0.53511226,Medium Risk,Low Value,0,0,Price too high
73.6,73.6,2565,1,Month-to-month,1,0.86162835,High Risk,Low Value,1,1,Product dissatisfaction
95.45,396.1,3677,4,Month-to-month,1,0.9610964,High Risk,Low Value,2,1,Service dissatisfaction
74.9,2303.35,4105,32,Month-to-month,1,0.8116749,High Risk,Mid Value,0,0,Lack of self-service on Website
80.6,415.55,5715,5,Month-to-month,1,0.9104097,High Risk,High Value,1,1,Network reliability
80.3,3058.65,2071,38,One year,1,0.8139577,High Risk,Low Value,5,0,Limited range of services
93.15,2231.05,2212,24,Month-to-month,1,0.85091203,High Risk,Low Value,3,0,Lack of affordable download/upload speed
82.45,4350.1,4149,54,One year,1,0.32099703,Medium Risk,Mid Value,5,0,Long distance charges
70.35,139.05,2671,2,Month-to-month,1,0.8528554,High Risk,Low Value,0,0,Extra data charges
73.85,511.25,2473,7,Month-to-month,1,0.8899683,High Risk,Low Value,0,1,Price too high
80.6,155.8,2683,2,Month-to-month,1,0.88547015,High Risk,Low Value,1,1,Product dissatisfaction
75.8,5293.95,4903,68,One year,1,0.6339709,High Risk,Mid Value,4,0,Service dissatisfaction
104.6,4759.85,5250,43,Two year,1,0.6254226,High Risk,High Value,4,0,Lack of self-service on Website
103.4,6603.0,4352,63,Month-to-month,1,0.8340051,High Risk,Mid Value,4,0,Network reliability
90.4,168.2,4157,2,Month-to-month,1,0.9243491,High Risk,Mid Value,2,1,Don't know
84.8,371.9,4939,4,Month-to-month,1,0.9548431,High Risk,Mid Value,2,1,Don't know
41.9,840.1,4778,21,Month-to-month,1,0.8269211,High Risk,Mid Value,2,0,Don't know
80.25,846.0,3598,10,Month-to-month,1,0.851495,High Risk,Low Value,1,1,Poor expertise of online support
30.75,805.1,2927,27,Month-to-month,1,0.60690993,High Risk,Low Value,1,0,Poor expertise of phone support
96.5,492.55,5383,5,Month-to-month,1,0.8438211,High Risk,High Value,3,1,Price too high
85.65,181.5,3878,2,Month-to-month,1,0.9428564,High Risk,Low Value,1,1,Product dissatisfaction
104.95,2566.5,3642,25,Month-to-month,1,0.85163206,High Risk,Low Value,4,0,Service dissatisfaction
50.65,50.65,2431,1,Month-to-month,1,0.661502,High Risk,Low Value,1,0,Don't know
90.85,90.85,3424,1,Month-to-month,1,0.9653075,High Risk,Low Value,2,1,Network reliability
19.95,214.75,5888,11,Month-to-month,1,0.4661558,Medium Risk,High Value,0,0,Limited range of services
85.45,4874.7,5502,55,Month-to-month,1,0.76600474,High Risk,High Value,2,0,Lack of affordable download/upload speed
73.95,2524.45,5795,34,Month-to-month,1,0.6339234,High Risk,High Value,1,0,Long distance charges
99.45,7007.6,4020,69,Month-to-month,1,0.6208092,High Risk,Mid Value,3,0,Extra data charges
19.9,19.9,3351,1,Month-to-month,1,0.82680964,High Risk,Low Value,0,0,Price too high
19.6,19.6,3448,1,Month-to-month,1,0.82607627,High Risk,Low Value,0,0,Product dissatisfaction
81.35,233.7,2818,3,Month-to-month,1,0.87604314,High Risk,Low Value,1,1,Service dissatisfaction
83.3,1845.9,3804,22,Month-to-month,1,0.6981057,High Risk,Low Value,2,0,Lack of self-service on Website
75.3,75.3,4902,1,Month-to-month,1,0.9409782,High Risk,Mid Value,1,1,Network reliability
19.4,1182.55,4221,61,Month-to-month,1,0.7672148,High Risk,Mid Value,0,0,Don't know
45.4,518.9,2887,12,Month-to-month,1,0.516013,Medium Risk,Low Value,0,0,Don't know
105.9,6396.45,4105,60,Month-to-month,1,0.7600009,High Risk,Mid Value,4,0,Don't know
69.55,69.55,2792,1,Month-to-month,1,0.9192663,High Risk,Low Value,0,0,Competitor had better devices
81.05,2227.1,5201,28,Month-to-month,1,0.7545574,High Risk,High Value,1,0,Competitor had better devices
101.15,385.9,4417,4,Month-to-month,1,0.9468003,High Risk,Mid Value,3,1,Competitor had better devices
99.8,673.25,2031,7,Month-to-month,1,0.93361145,High Risk,Low Value,3,1,Competitor had better devices
55.95,734.35,4498,13,Month-to-month,1,0.5626692,Medium Risk,Mid Value,1,0,Competitor had better devices
55.0,55.0,4877,1,Month-to-month,1,0.90383583,High Risk,Mid Value,1,0,Competitor had better devices
74.7,74.7,5980,1,Month-to-month,1,0.94603086,High Risk,High Value,1,1,Competitor had better devices
80.25,1861.5,4418,24,Month-to-month,1,0.7667943,High Risk,Mid Value,1,0,Competitor had better devices
96.1,453.4,4192,5,Month-to-month,1,0.88944423,High Risk,Mid Value,3,1,Competitor had better devices
69.0,994.8,5671,15,Month-to-month,1,0.65972847,High Risk,High Value,0,0,Competitor had better devices
45.3,2145.0,4926,48,Month-to-month,1,0.4520377,Medium Risk,Mid Value,3,0,Price too high
83.55,680.05,2879,8,Month-to-month,1,0.86354846,High Risk,Low Value,2,1,Product dissatisfaction
74.35,74.35,2814,1,Month-to-month,1,0.95468074,High Risk,Low Value,0,1,Service dissatisfaction
74.4,139.4,4263,2,Month-to-month,1,0.79304314,High Risk,Mid Value,1,1,Lack of self-service on Website
43.75,903.6,3099,22,One year,1,0.53820014,Medium Risk,Low Value,3,0,Network reliability
28.45,131.05,4099,5,Month-to-month,1,0.6759515,High Risk,Mid Value,1,0,Limited range of services
99.7,1238.45,2538,12,Month-to-month,1,0.90102434,High Risk,Low Value,4,1,Lack of affordable download/upload speed
94.1,1782.4,2666,20,Month-to-month,1,0.81559443,High Risk,Low Value,3,0,Long distance charges
94.2,167.5,3715,2,Month-to-month,1,0.8552791,High Risk,Low Value,3,1,Don't know
80.5,502.85,5032,6,Month-to-month,1,0.9285094,High Risk,Mid Value,1,1,Price too high
74.35,334.8,5273,5,Month-to-month,1,0.88763577,High Risk,High Value,0,1,Product dissatisfaction
104.8,4131.95,3492,40,Month-to-month,1,0.7319127,High Risk,Low Value,4,0,Service dissatisfaction
75.2,1929.35,4517,27,Month-to-month,1,0.63830674,High Risk,Mid Value,1,0,Lack of self-service on Website
75.6,1758.6,2115,23,Month-to-month,1,0.41888008,Medium Risk,Low Value,0,0,Network reliability
100.05,3480.0,2568,34,Month-to-month,1,0.85127527,High Risk,Low Value,3,0,Don't know
85.0,85.0,5679,1,Month-to-month,1,0.9862888,High Risk,High Value,1,1,Don't know
86.05,834.1,2966,10,Month-to-month,1,0.89397746,High Risk,Low Value,1,1,Don't know
45.55,597.0,4856,13,Month-to-month,1,0.56000775,Medium Risk,Mid Value,3,0,Poor expertise of online support
86.3,3266.0,3364,39,Month-to-month,1,0.7643295,High Risk,Low Value,2,0,Poor expertise of phone support
80.35,2596.15,5974,32,Month-to-month,1,0.36657608,Medium Risk,High Value,1,0,Competitor had better devices
100.25,3527.6,2744,35,Month-to-month,1,0.7590584,High Risk,Low Value,3,0,Competitor offered higher download speeds
100.3,5614.45,5170,56,One year,1,0.53857946,Medium Risk,High Value,3,0,Competitor offered more data
19.0,233.55,3535,12,Month-to-month,1,0.10039616,Low Risk,Low Value,0,0,Competitor made better offer
75.3,75.3,3244,1,Month-to-month,1,0.7855635,High Risk,Low Value,1,1,Competitor had better devices
89.2,346.2,5808,4,Month-to-month,1,0.90960646,High Risk,High Value,2,1,Competitor had better devices
85.7,85.7,4880,1,Month-to-month,1,0.971191,High Risk,Mid Value,1,1,Competitor offered higher download speeds
61.65,713.75,5670,12,Month-to-month,1,0.46745828,Medium Risk,High Value,3,0,Competitor offered higher download speeds
105.25,6786.4,4196,65,Month-to-month,1,0.6426742,High Risk,Mid Value,4,0,Competitor offered higher download speeds
29.95,248.95,2573,9,Month-to-month,1,0.6917214,High Risk,Low Value,1,0,Competitor offered more data
65.0,663.05,3983,9,Month-to-month,1,0.42855203,Medium Risk,Mid Value,4,0,Competitor offered more data
20.0,137.6,4479,7,Month-to-month,1,0.5166655,Medium Risk,Mid Value,0,0,Competitor offered more data
90.05,4547.25,5059,49,Month-to-month,1,0.6296967,High Risk,Mid Value,2,0,Competitor made better offer
110.75,4687.9,2728,43,Month-to-month,1,0.8662837,High Risk,Low Value,5,0,Competitor made better offer
105.5,6985.65,5720,65,Month-to-month,1,0.7393397,High Risk,High Value,4,0,Competitor had better devices
104.55,5794.65,6268,56,One year,1,0.8626086,High Risk,High Value,4,0,Competitor offered higher download speeds
85.25,855.3,3573,10,Month-to-month,1,0.9421909,High Risk,Low Value,1,1,Competitor offered more data
56.15,2499.3,2152,43,Month-to-month,1,0.8126455,High Risk,Low Value,1,0,Don't know
89.55,89.55,4996,1,Month-to-month,1,0.96002,High Risk,Mid Value,2,1,Competitor had better devices
94.55,1899.65,5604,20,Month-to-month,1,0.8581804,High Risk,High Value,2,0,Competitor had better devices
45.7,45.7,2295,1,Month-to-month,1,0.77958924,High Risk,Low Value,0,0,Competitor offered higher download speeds
89.5,161.5,2065,2,Month-to-month,1,0.90046066,High Risk,Low Value,2,1,Competitor offered higher download speeds
69.55,222.3,2876,3,Month-to-month,1,0.73898995,High Risk,Low Value,0,0,Competitor offered higher download speeds
74.6,74.6,3860,1,Month-to-month,1,0.9393926,High Risk,Low Value,1,1,Competitor offered more data
19.65,164.3,5432,8,Month-to-month,1,0.2111486,Low Risk,High Value,0,0,Competitor offered more data
19.85,35.9,2362,2,One year,1,0.07238579,Low Risk,Low Value,0,0,Competitor offered more data
24.25,96.05,2038,4,Month-to-month,1,0.70068824,High Risk,Low Value,0,0,Competitor made better offer
69.65,145.15,2323,2,Month-to-month,1,0.75638473,High Risk,Low Value,0,0,Competitor made better offer
45.65,191.05,2864,4,Month-to-month,1,0.6674289,High Risk,Low Value,0,0,Competitor had better devices
75.05,75.05,4838,1,Month-to-month,1,0.92909867,High Risk,Mid Value,0,1,Competitor offered higher download speeds
49.15,2550.9,5597,52,Month-to-month,1,0.6414484,High Risk,High Value,3,0,Competitor offered more data
34.7,62.25,3146,2,Month-to-month,1,0.8412656,High Risk,Low Value,1,0,Competitor made better offer
80.0,80.0,2046,1,Month-to-month,1,0.949077,High Risk,Low Value,1,1,Competitor had better devices
49.25,91.1,3475,2,Month-to-month,1,0.8064439,High Risk,Low Value,1,0,Competitor had better devices
75.1,270.7,4965,3,Month-to-month,1,0.86022234,High Risk,Mid Value,0,1,Competitor offered higher download speeds
50.15,168.15,3273,3,Month-to-month,1,0.84367055,High Risk,Low Value,1,0,Competitor offered higher download speeds
79.85,2015.35,4535,25,Month-to-month,1,0.55615467,Medium Risk,Mid Value,2,0,Competitor offered higher download speeds
19.55,19.55,3556,1,Month-to-month,1,0.7118299,High Risk,Low Value,0,0,Competitor offered more data
85.95,381.3,5640,4,Month-to-month,1,0.9692556,High Risk,High Value,1,1,Competitor offered more data
45.35,141.5,2450,3,Month-to-month,1,0.8517808,High Risk,Low Value,0,0,Competitor offered more data
94.5,3105.55,4333,33,Month-to-month,1,0.8745288,High Risk,Mid Value,2,0,Competitor made better offer
91.7,2758.15,2482,30,Month-to-month,1,0.7126832,High Risk,Low Value,3,0,Competitor made better offer
87.25,3941.7,5269,45,Month-to-month,1,0.59131545,Medium Risk,High Value,2,0,Competitor had better devices
98.55,1008.55,3658,10,Month-to-month,1,0.89431506,High Risk,Low Value,3,1,Competitor offered higher download speeds
98.55,1842.8,5444,20,Month-to-month,1,0.93445975,High Risk,High Value,3,0,Competitor offered more data
85.9,1269.55,3579,15,Month-to-month,1,0.63289946,High Risk,Low Value,2,0,Don't know
89.25,1907.85,3161,22,Month-to-month,1,0.53392637,Medium Risk,Low Value,2,0,Competitor had better devices
70.3,208.85,3038,3,Month-to-month,1,0.8354013,High Risk,Low Value,0,0,Competitor had better devices
93.35,1444.65,5264,15,Month-to-month,1,0.8947522,High Risk,High Value,2,0,Competitor offered higher download speeds
19.9,19.9,4248,1,Month-to-month,1,0.74194866,High Risk,Mid Value,0,0,Competitor offered higher download speeds
88.9,454.15,4356,5,Month-to-month,1,0.88760334,High Risk,Mid Value,3,1,Competitor offered higher download speeds
95.8,3036.75,4161,33,One year,1,0.6827902,High Risk,Mid Value,3,0,Competitor offered more data
82.0,184.65,3051,2,Month-to-month,1,0.9073231,High Risk,Low Value,1,1,Competitor offered more data
45.35,89.5,3478,2,Month-to-month,1,0.65187925,High Risk,Low Value,0,0,Competitor offered more data
52.2,52.2,4138,1,Month-to-month,1,0.7361278,High Risk,Mid Value,1,0,Competitor made better offer
110.0,4874.8,2403,46,One year,1,0.61009204,High Risk,Low Value,5,0,Competitor made better offer
96.75,6125.4,5016,62,One year,1,0.6691019,High Risk,Mid Value,3,0,Attitude of service provider
98.5,1058.25,5184,10,Month-to-month,1,0.9758518,High Risk,High Value,3,1,Attitude of service provider
85.35,489.45,4694,6,Month-to-month,1,0.8975781,High Risk,Mid Value,2,1,Attitude of service provider
101.3,4113.1,2576,40,Month-to-month,1,0.9007368,High Risk,Low Value,3,0,Attitude of support person
69.55,69.55,3042,1,Month-to-month,1,0.93635416,High Risk,Low Value,0,0,Attitude of support person
103.25,6017.65,6105,58,One year,1,0.7935939,High Risk,High Value,4,0,Attitude of support person
104.0,7250.15,4544,70,Two year,1,0.6360173,High Risk,Mid Value,4,0,Attitude of service provider
86.2,178.7,2969,2,Month-to-month,1,0.9145642,High Risk,Low Value,2,1,Attitude of service provider
111.2,2317.1,4123,21,Month-to-month,1,0.8227054,High Risk,Mid Value,5,0,Attitude of service provider
89.45,1430.25,3696,16,Month-to-month,1,0.7857136,High Risk,Low Value,3,0,Attitude of support person
95.6,644.35,3265,7,Month-to-month,1,0.9639336,High Risk,Low Value,2,1,Competitor made better offer
90.95,5453.4,4111,60,One year,1,0.465517,Medium Risk,Mid Value,3,0,Moved
108.55,5610.7,4274,50,One year,1,0.7082881,High Risk,Mid Value,5,0,Moved
78.85,292.8,5301,4,Month-to-month,1,0.8849944,High Risk,High Value,1,1,Moved
44.4,44.4,3522,1,Month-to-month,1,0.73149514,High Risk,Low Value,0,0,Competitor offered higher download speeds
100.0,5509.3,5679,55,One year,1,0.69759256,High Risk,High Value,3,0,Competitor offered higher download speeds
19.8,229.6,2653,12,One year,1,0.6983722,High Risk,Low Value,0,0,Competitor offered higher download speeds
89.9,89.9,5951,1,Month-to-month,1,0.9503787,High Risk,High Value,2,1,Don't know
100.15,6413.65,5600,62,One year,1,0.6402184,High Risk,High Value,3,0,Competitor offered higher download speeds
50.8,50.8,3718,1,Month-to-month,1,0.8377945,High Risk,Low Value,1,0,Competitor offered higher download speeds
73.65,1463.5,5849,20,Month-to-month,1,0.7956003,High Risk,High Value,1,0,Competitor offered higher download speeds
95.1,307.4,5861,3,Month-to-month,1,0.9122275,High Risk,High Value,3,1,Competitor offered higher download speeds
94.65,2104.55,3665,22,Month-to-month,1,0.796521,High Risk,Low Value,2,0,Competitor offered higher download speeds
80.6,319.15,3080,4,Month-to-month,1,0.88074046,High Risk,Low Value,2,1,Competitor offered more data
85.55,5084.65,6304,59,One year,1,0.3339891,Medium Risk,High Value,1,0,Competitor offered more data
50.8,3027.4,4941,60,Month-to-month,1,0.6942252,High Risk,Mid Value,3,0,Competitor offered more data
105.1,1582.75,2122,15,Month-to-month,1,0.825292,High Risk,Low Value,5,0,Competitor made better offer
110.1,1043.3,5803,10,Month-to-month,1,0.71315145,High Risk,High Value,6,1,Competitor made better offer
83.9,497.55,3962,6,Month-to-month,1,0.7700622,High Risk,Low Value,2,1,Price too high
100.55,6215.35,5413,63,Month-to-month,1,0.57517457,Medium Risk,High Value,4,0,Price too high
103.85,5017.9,5812,50,Month-to-month,1,0.84928775,High Risk,High Value,4,0,Price too high
24.6,24.6,5768,1,Month-to-month,1,0.64840966,High Risk,High Value,0,0,Price too high
98.9,1120.95,5559,12,Month-to-month,1,0.94811666,High Risk,High Value,4,1,Price too high
98.3,923.5,2954,9,Month-to-month,1,0.94626915,High Risk,Low Value,3,1,Price too high
93.85,1625.65,4940,17,Month-to-month,1,0.6131094,High Risk,Mid Value,3,0,Price too high
100.5,918.6,4038,9,Month-to-month,1,0.94271415,High Risk,Mid Value,3,1,Price too high
72.85,688.65,3189,10,Month-to-month,1,0.7193957,High Risk,Low Value,1,1,Price too high
73.55,73.55,4369,1,Month-to-month,1,0.9547826,High Risk,Mid Value,0,1,Price too high
79.4,205.05,3501,3,Month-to-month,1,0.88867766,High Risk,Low Value,1,1,Product dissatisfaction
81.15,952.3,4806,13,Month-to-month,1,0.7405649,High Risk,Mid Value,2,0,Service dissatisfaction
84.6,360.1,2467,4,Month-to-month,1,0.902548,High Risk,Low Value,1,1,Lack of self-service on Website
79.05,434.5,3263,6,Month-to-month,1,0.8351464,High Risk,Low Value,1,1,Network reliability
74.4,215.8,2054,3,Month-to-month,1,0.70915216,High Risk,Low Value,0,1,Don't know
99.05,3395.8,2074,35,Month-to-month,1,0.85308975,High Risk,Low Value,3,0,Don't know
44.95,85.15,5900,2,Month-to-month,1,0.6217452,High Risk,High Value,0,0,Don't know
44.7,44.7,3700,1,Month-to-month,1,0.8431066,High Risk,Low Value,0,0,Don't know
45.7,45.7,3571,1,Month-to-month,1,0.8518325,High Risk,Low Value,0,0,Poor expertise of phone support
100.3,832.35,5084,8,Month-to-month,1,0.7808707,High Risk,Mid Value,4,1,Competitor had better devices
19.25,112.3,4489,7,Month-to-month,1,0.06367434,Low Risk,Mid Value,0,0,Competitor offered higher download speeds
96.0,174.8,3391,2,Month-to-month,1,0.97006744,High Risk,Low Value,2,1,Competitor offered more data
90.55,90.55,2627,1,Month-to-month,1,0.94463414,High Risk,Low Value,2,1,Competitor made better offer
30.35,1359.7,4829,44,Month-to-month,1,0.73172754,High Risk,Mid Value,1,0,Competitor had better devices
108.05,7532.15,5200,71,Two year,1,0.5402031,Medium Risk,High Value,5,0,Competitor had better devices
69.9,69.9,5367,1,Month-to-month,1,0.93391496,High Risk,High Value,0,0,Competitor offered higher download speeds
103.75,6383.35,5052,62,One year,1,0.4956983,Medium Risk,Mid Value,4,0,Competitor offered higher download speeds
86.6,86.6,5228,1,Month-to-month,1,0.97418064,High Risk,High Value,1,1,Competitor offered higher download speeds
80.6,2656.5,3601,33,Month-to-month,1,0.66712785,High Risk,Low Value,1,0,Competitor offered more data
85.3,2917.5,2455,35,Month-to-month,1,0.7667221,High Risk,Low Value,2,0,Competitor offered more data
70.0,2416.1,2318,34,Month-to-month,1,0.8427853,High Risk,Low Value,0,0,Competitor offered more data
94.3,424.45,5419,4,Month-to-month,1,0.9648917,High Risk,High Value,2,1,Competitor made better offer
95.35,660.9,3077,7,Month-to-month,1,0.9166635,High Risk,Low Value,3,1,Competitor made better offer
75.5,1893.95,2377,27,Month-to-month,1,0.70040774,High Risk,Low Value,0,0,Competitor had better devices
90.1,1612.75,4260,18,Month-to-month,1,0.73078984,High Risk,Mid Value,2,0,Competitor offered higher download speeds
68.95,119.75,5225,2,Month-to-month,1,0.71907127,High Risk,High Value,0,0,Competitor offered more data
99.55,3204.65,5026,32,Month-to-month,1,0.8442279,High Risk,Mid Value,3,0,Competitor made better offer
57.45,990.85,2989,18,Month-to-month,1,0.5754537,Medium Risk,Low Value,2,0,Competitor had better devices
53.65,696.35,2595,12,One year,1,0.6162435,High Risk,Low Value,1,0,Competitor had better devices
100.6,819.4,5906,8,Month-to-month,1,0.9530683,High Risk,High Value,3,1,Competitor offered higher download speeds
83.75,2070.6,2404,26,Month-to-month,1,0.8896643,High Risk,Low Value,1,0,Competitor offered higher download speeds
88.3,273.75,4486,3,Month-to-month,1,0.88915056,High Risk,Mid Value,3,1,Competitor offered higher download speeds
92.1,729.95,5662,8,Month-to-month,1,0.93370485,High Risk,High Value,3,1,Competitor offered more data
79.45,3013.05,2405,38,Month-to-month,1,0.81421113,High Risk,Low Value,2,0,Competitor offered more data
90.45,1266.1,4777,14,Month-to-month,1,0.5413674,Medium Risk,Mid Value,2,0,Competitor offered more data
69.75,2347.9,2356,32,Month-to-month,1,0.81132483,High Risk,Low Value,0,0,Don't know
19.65,19.65,5881,1,Month-to-month,1,0.71077013,High Risk,High Value,0,0,Competitor made better offer
